"ANO","estado_prova","tipo_escola","dep_adm","motivo_status","total_inscritos","qtd_presenca_dia_1","qtd_presenca_dia_2","qtd_participantes","qtd_redacoes_validas"
2019,"AC","Não Informado","Não Informado","Anulada",39,39,35,35,0
2019,"AC","Não Informado","Não Informado","Cópia Texto Motivador",170,170,148,148,0
2019,"AC","Não Informado","Não Informado","Em Branco",270,270,126,126,0
2019,"AC","Não Informado","Não Informado","Fuga ao Tema",282,282,180,180,0
2019,"AC","Não Informado","Não Informado","Não Atendimento ao Tipo",19,19,18,18,0
2019,"AC","Não Informado","Não Informado","Não Compareceu/Outros",8213,0,43,0,0
2019,"AC","Não Informado","Não Informado","Parte Desconectada",52,52,40,40,0
2019,"AC","Não Informado","Não Informado","Texto Insuficiente",40,40,23,23,0
2019,"AC","Não Informado","Não Informado","Válida",22448,22448,20825,20825,22448
2019,"AC","Privada","Estadual","Não Compareceu/Outros",2,0,0,0,0
2019,"AC","Privada","Estadual","Parte Desconectada",1,1,1,1,0
2019,"AC","Privada","Estadual","Válida",27,27,25,25,27
2019,"AC","Privada","Federal","Válida",2,2,2,2,2
2019,"AC","Privada","Não Informado","Fuga ao Tema",1,1,1,1,0
2019,"AC","Privada","Não Informado","Não Compareceu/Outros",5,0,0,0,0
2019,"AC","Privada","Não Informado","Válida",99,99,98,98,99
2019,"AC","Privada","Privada","Cópia Texto Motivador",2,2,2,2,0
2019,"AC","Privada","Privada","Não Compareceu/Outros",3,0,0,0,0
2019,"AC","Privada","Privada","Válida",240,240,238,238,240
2019,"AC","Pública","Estadual","Anulada",7,7,7,7,0
2019,"AC","Pública","Estadual","Cópia Texto Motivador",34,34,31,31,0
2019,"AC","Pública","Estadual","Em Branco",54,54,31,31,0
2019,"AC","Pública","Estadual","Fuga ao Tema",61,61,34,34,0
2019,"AC","Pública","Estadual","Não Atendimento ao Tipo",1,1,1,1,0
2019,"AC","Pública","Estadual","Não Compareceu/Outros",499,0,8,0,0
2019,"AC","Pública","Estadual","Parte Desconectada",8,8,7,7,0
2019,"AC","Pública","Estadual","Texto Insuficiente",17,17,11,11,0
2019,"AC","Pública","Estadual","Válida",3937,3937,3765,3765,3937
2019,"AC","Pública","Federal","Fuga ao Tema",3,3,3,3,0
2019,"AC","Pública","Federal","Não Compareceu/Outros",7,0,0,0,0
2019,"AC","Pública","Federal","Texto Insuficiente",1,1,1,1,0
2019,"AC","Pública","Federal","Válida",422,422,415,415,422
2019,"AC","Pública","Municipal","Fuga ao Tema",1,1,1,1,0
2019,"AC","Pública","Municipal","Não Compareceu/Outros",2,0,0,0,0
2019,"AC","Pública","Municipal","Válida",7,7,6,6,7
2019,"AC","Pública","Não Informado","Anulada",3,3,2,2,0
2019,"AC","Pública","Não Informado","Cópia Texto Motivador",7,7,7,7,0
2019,"AC","Pública","Não Informado","Em Branco",32,32,16,16,0
2019,"AC","Pública","Não Informado","Fuga ao Tema",16,16,10,10,0
2019,"AC","Pública","Não Informado","Não Atendimento ao Tipo",1,1,1,1,0
2019,"AC","Pública","Não Informado","Não Compareceu/Outros",216,0,4,0,0
2019,"AC","Pública","Não Informado","Parte Desconectada",1,1,0,0,0
2019,"AC","Pública","Não Informado","Texto Insuficiente",5,5,5,5,0
2019,"AC","Pública","Não Informado","Válida",1294,1294,1219,1219,1294
2019,"AC","Pública","Privada","Não Compareceu/Outros",2,0,0,0,0
2019,"AC","Pública","Privada","Válida",92,92,92,92,92
2019,"AL","Não Informado","Não Informado","Anulada",48,48,41,41,0
2019,"AL","Não Informado","Não Informado","Cópia Texto Motivador",323,323,297,297,0
2019,"AL","Não Informado","Não Informado","Em Branco",716,716,439,439,0
2019,"AL","Não Informado","Não Informado","Fuga ao Tema",756,756,583,583,0
2019,"AL","Não Informado","Não Informado","Não Atendimento ao Tipo",49,49,43,43,0
2019,"AL","Não Informado","Não Informado","Não Compareceu/Outros",16661,0,86,0,0
2019,"AL","Não Informado","Não Informado","Parte Desconectada",92,92,82,82,0
2019,"AL","Não Informado","Não Informado","Texto Insuficiente",127,127,89,89,0
2019,"AL","Não Informado","Não Informado","Válida",49359,49359,47266,47266,49359
2019,"AL","Privada","Estadual","Cópia Texto Motivador",1,1,1,1,0
2019,"AL","Privada","Estadual","Em Branco",2,2,1,1,0
2019,"AL","Privada","Estadual","Fuga ao Tema",1,1,1,1,0
2019,"AL","Privada","Estadual","Não Compareceu/Outros",4,0,0,0,0
2019,"AL","Privada","Estadual","Texto Insuficiente",2,2,2,2,0
2019,"AL","Privada","Estadual","Válida",47,47,46,46,47
2019,"AL","Privada","Federal","Em Branco",1,1,1,1,0
2019,"AL","Privada","Federal","Válida",9,9,9,9,9
2019,"AL","Privada","Não Informado","Cópia Texto Motivador",7,7,7,7,0
2019,"AL","Privada","Não Informado","Em Branco",10,10,7,7,0
2019,"AL","Privada","Não Informado","Fuga ao Tema",6,6,5,5,0
2019,"AL","Privada","Não Informado","Não Compareceu/Outros",35,0,1,0,0
2019,"AL","Privada","Não Informado","Parte Desconectada",4,4,3,3,0
2019,"AL","Privada","Não Informado","Texto Insuficiente",6,6,6,6,0
