"ANO","estado_prova","tipo_escola","dep_adm","motivo_status","numero_pessoas","porcentagem"
2019,"AC","Não Informado","Não Informado","Anulada",39,0.00077
2019,"AC","Não Informado","Não Informado","Cópia Texto Motivador",170,0.00334
2019,"AC","Não Informado","Não Informado","Em Branco",270,0.0053
2019,"AC","Não Informado","Não Informado","Fuga ao Tema",282,0.00553
2019,"AC","Não Informado","Não Informado","Não Atendimento ao Tipo",19,0.00037
2019,"AC","Não Informado","Não Informado","Não Compareceu/Outros",8213,0.16119
2019,"AC","Não Informado","Não Informado","Parte Desconectada",52,0.00102
2019,"AC","Não Informado","Não Informado","Texto Insuficiente",40,0.00079
2019,"AC","Não Informado","Não Informado","Válida",22448,0.44057
2019,"AC","Privada","Estadual","Não Compareceu/Outros",2,4e-05
2019,"AC","Privada","Estadual","Parte Desconectada",1,2e-05
2019,"AC","Privada","Estadual","Válida",27,0.00053
2019,"AC","Privada","Federal","Válida",2,4e-05
2019,"AC","Privada","Não Informado","Fuga ao Tema",1,2e-05
2019,"AC","Privada","Não Informado","Não Compareceu/Outros",5,1e-04
2019,"AC","Privada","Não Informado","Válida",99,0.00194
2019,"AC","Privada","Privada","Cópia Texto Motivador",2,4e-05
2019,"AC","Privada","Privada","Não Compareceu/Outros",3,6e-05
2019,"AC","Privada","Privada","Válida",240,0.00471
2019,"AC","Pública","Estadual","Anulada",7,0.00014
2019,"AC","Pública","Estadual","Cópia Texto Motivador",34,0.00067
2019,"AC","Pública","Estadual","Em Branco",54,0.00106
2019,"AC","Pública","Estadual","Fuga ao Tema",61,0.0012
2019,"AC","Pública","Estadual","Não Atendimento ao Tipo",1,2e-05
2019,"AC","Pública","Estadual","Não Compareceu/Outros",499,0.00979
2019,"AC","Pública","Estadual","Parte Desconectada",8,0.00016
2019,"AC","Pública","Estadual","Texto Insuficiente",17,0.00033
2019,"AC","Pública","Estadual","Válida",3937,0.07727
2019,"AC","Pública","Federal","Fuga ao Tema",3,6e-05
2019,"AC","Pública","Federal","Não Compareceu/Outros",7,0.00014
2019,"AC","Pública","Federal","Texto Insuficiente",1,2e-05
2019,"AC","Pública","Federal","Válida",422,0.00828
2019,"AC","Pública","Municipal","Fuga ao Tema",1,2e-05
2019,"AC","Pública","Municipal","Não Compareceu/Outros",2,4e-05
2019,"AC","Pública","Municipal","Válida",7,0.00014
2019,"AC","Pública","Não Informado","Anulada",3,6e-05
2019,"AC","Pública","Não Informado","Cópia Texto Motivador",7,0.00014
2019,"AC","Pública","Não Informado","Em Branco",32,0.00063
2019,"AC","Pública","Não Informado","Fuga ao Tema",16,0.00031
2019,"AC","Pública","Não Informado","Não Atendimento ao Tipo",1,2e-05
2019,"AC","Pública","Não Informado","Não Compareceu/Outros",216,0.00424
2019,"AC","Pública","Não Informado","Parte Desconectada",1,2e-05
2019,"AC","Pública","Não Informado","Texto Insuficiente",5,1e-04
2019,"AC","Pública","Não Informado","Válida",1294,0.0254
2019,"AC","Pública","Privada","Não Compareceu/Outros",2,4e-05
2019,"AC","Pública","Privada","Válida",92,0.00181
2019,"AL","Não Informado","Não Informado","Anulada",48,0.00094
2019,"AL","Não Informado","Não Informado","Cópia Texto Motivador",323,0.00634
2019,"AL","Não Informado","Não Informado","Em Branco",716,0.01405
2019,"AL","Não Informado","Não Informado","Fuga ao Tema",756,0.01484
2019,"AL","Não Informado","Não Informado","Não Atendimento ao Tipo",49,0.00096
2019,"AL","Não Informado","Não Informado","Não Compareceu/Outros",16661,0.327
2019,"AL","Não Informado","Não Informado","Parte Desconectada",92,0.00181
2019,"AL","Não Informado","Não Informado","Texto Insuficiente",127,0.00249
2019,"AL","Não Informado","Não Informado","Válida",49359,0.96874
2019,"AL","Privada","Estadual","Cópia Texto Motivador",1,2e-05
2019,"AL","Privada","Estadual","Em Branco",2,4e-05
2019,"AL","Privada","Estadual","Fuga ao Tema",1,2e-05
2019,"AL","Privada","Estadual","Não Compareceu/Outros",4,8e-05
2019,"AL","Privada","Estadual","Texto Insuficiente",2,4e-05
2019,"AL","Privada","Estadual","Válida",47,0.00092
2019,"AL","Privada","Federal","Em Branco",1,2e-05
2019,"AL","Privada","Federal","Válida",9,0.00018
2019,"AL","Privada","Não Informado","Cópia Texto Motivador",7,0.00014
2019,"AL","Privada","Não Informado","Em Branco",10,2e-04
2019,"AL","Privada","Não Informado","Fuga ao Tema",6,0.00012
2019,"AL","Privada","Não Informado","Não Compareceu/Outros",35,0.00069
2019,"AL","Privada","Não Informado","Parte Desconectada",4,8e-05
2019,"AL","Privada","Não Informado","Texto Insuficiente",6,0.00012
2019,"AL","Privada","Não Informado","Válida",1818,0.03568
2019,"AL","Privada","Privada","Cópia Texto Motivador",10,2e-04
2019,"AL","Privada","Privada","Em Branco",9,0.00018
2019,"AL","Privada","Privada","Fuga ao Tema",6,0.00012
2019,"AL","Privada","Privada","Não Compareceu/Outros",29,0.00057
2019,"AL","Privada","Privada","Texto Insuficiente",4,8e-05
2019,"AL","Privada","Privada","Válida",2091,0.04104
2019,"AL","Pública","Estadual","Anulada",8,0.00016
2019,"AL","Pública","Estadual","Cópia Texto Motivador",145,0.00285
2019,"AL","Pública","Estadual","Em Branco",410,0.00805
2019,"AL","Pública","Estadual","Fuga ao Tema",266,0.00522
2019,"AL","Pública","Estadual","Não Atendimento ao Tipo",11,0.00022
2019,"AL","Pública","Estadual","Não Compareceu/Outros",1882,0.03694
2019,"AL","Pública","Estadual","Parte Desconectada",11,0.00022
2019,"AL","Pública","Estadual","Texto Insuficiente",67,0.00131
2019,"AL","Pública","Estadual","Válida",10250,0.20117
2019,"AL","Pública","Federal","Cópia Texto Motivador",2,4e-05
2019,"AL","Pública","Federal","Em Branco",11,0.00022
2019,"AL","Pública","Federal","Fuga ao Tema",3,6e-05
2019,"AL","Pública","Federal","Não Compareceu/Outros",71,0.00139
2019,"AL","Pública","Federal","Parte Desconectada",1,2e-05
2019,"AL","Pública","Federal","Texto Insuficiente",2,4e-05
2019,"AL","Pública","Federal","Válida",1417,0.02781
2019,"AL","Pública","Municipal","Não Compareceu/Outros",8,0.00016
2019,"AL","Pública","Municipal","Válida",4,8e-05
2019,"AL","Pública","Não Informado","Anulada",9,0.00018
2019,"AL","Pública","Não Informado","Cópia Texto Motivador",29,0.00057
2019,"AL","Pública","Não Informado","Em Branco",67,0.00131
2019,"AL","Pública","Não Informado","Fuga ao Tema",52,0.00102
